DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1889-01-01,1889,1,1,BM_ERV,1889-01-01T00:00:00-02:00,7.27272727272727e-16
1890-01-01,1890,1,1,BM_ERV,1890-01-01T00:00:00-02:00,6.90909090909091e-16
1891-01-01,1891,1,1,BM_ERV,1891-01-01T00:00:00-02:00,4.36363636363636e-16
1892-01-01,1892,1,1,BM_ERV,1892-01-01T00:00:00-02:00,1.2e-15
1893-01-01,1893,1,1,BM_ERV,1893-01-01T00:00:00-02:00,1.49090909090909e-15
1894-01-01,1894,1,1,BM_ERV,1894-01-01T00:00:00-02:00,1.56363636363636e-15
1895-01-01,1895,1,1,BM_ERV,1895-01-01T00:00:00-02:00,1.78181818181818e-15
1896-01-01,1896,1,1,BM_ERV,1896-01-01T00:00:00-02:00,1.81818181818182e-15
1897-01-01,1897,1,1,BM_ERV,1897-01-01T00:00:00-02:00,2e-15
1898-01-01,1898,1,1,BM_ERV,1898-01-01T00:00:00-02:00,2.32727272727273e-15
1899-01-01,1899,1,1,BM_ERV,1899-01-01T00:00:00-02:00,2.50909090909091e-15
1900-01-01,1900,1,1,BM_ERV,1900-01-01T00:00:00-02:00,2.4e-15
1901-01-01,1901,1,1,BM_ERV,1901-01-01T00:00:00-02:00,1.89090909090909e-15
1902-01-01,1902,1,1,BM_ERV,1902-01-01T00:00:00-02:00,1.56363636363636e-15
1903-01-01,1903,1,1,BM_ERV,1903-01-01T00:00:00-02:00,1.52727272727273e-15
1904-01-01,1904,1,1,BM_ERV,1904-01-01T00:00:00-02:00,1.49090909090909e-15
1905-01-01,1905,1,1,BM_ERV,1905-01-01T00:00:00-02:00,1.45454545454545e-15
1906-01-01,1906,1,1,BM_ERV,1906-01-01T00:00:00-02:00,1.12727272727273e-15
1907-01-01,1907,1,1,BM_ERV,1907-01-01T00:00:00-02:00,1.12727272727273e-15
1908-01-01,1908,1,1,BM_ERV,1908-01-01T00:00:00-02:00,1.16363636363636e-15
